deal_id,target,acquirer,geography,announcement_date,expected_close,deal_type,deal_price,entry_date,entry_price,shares,position_value,current_price,current_spread_pct,unrealised_pct,completion_prob,ev_score,status,outcome,notes
deal_id: 1
target: Spire Healthcare Group
acquirer: Toscafund Asset Management
geography: UK
announcement_date: 2026-05-14
expected_close: 2026-11-30
deal_type: cash
deal_price: 2.50
entry_date: 2026-07-13
entry_price: 2.16
shares: 462
position_value: 997.92
current_price: 
current_spread_pct: 
unrealised_pct: 
completion_prob: 72
ev_score: 6.12
status: open
outcome: 
notes: Toscafund 250p cash offer. Board minded to recommend unanimously. Third PUSU extension to Aug 6 2026. Due diligence well advanced, financing being finalised. Mediclinic 30% stake uncommitted. 25% NHS revenue decline Q1 2026 creates MAC risk. Theoretical paper trade entry to test against wait-until-Aug-7 strategy.
